,Date,Open,High,Low,Close,Adj Close,Volume,Increase
1870,2017-11-30,308.559998,310.700012,304.540009,308.850006,308.850006,4351600,1
1880,2017-12-14,341.01001,347.440002,336.899994,337.890015,337.890015,5799900,0
1890,2017-12-29,316.179993,316.410004,310.0,311.350006,311.350006,3777200,1
1900,2018-01-16,337.540009,345.0,334.799988,340.059998,340.059998,6474300,1
1910,2018-01-30,345.140015,348.269989,342.170013,345.820007,345.820007,4717700,0
1920,2018-02-13,315.019989,324.190002,312.51001,323.660004,323.660004,4560200,1
1930,2018-02-28,352.570007,355.23999,342.22000099999997,343.059998,343.059998,6069700,0
1940,2018-03-14,336.76001,339.809998,323.929993,326.630005,326.630005,7967400,0
1950,2018-03-28,264.579987,268.679993,252.100006,257.77999900000003,257.77999900000003,21001400,1
1960,2018-04-12,302.320007,303.950012,293.679993,294.079987,294.079987,7608800,0
1970,2018-04-26,278.75,285.790009,276.5,285.480011,285.480011,4356000,1
1980,2018-05-10,307.5,312.98999,304.109985,305.019989,305.019989,5651600,0
1990,2018-05-24,278.399994,281.109985,274.890015,277.850006,277.850006,4176700,1
2000,2018-06-08,319.0,324.480011,317.149994,317.660004,317.660004,8205200,1
2010,2018-06-22,351.540009,352.25,332.0,333.630005,333.630005,10266100,0
2020,2018-07-09,311.98999,318.519989,308.0,318.51001,318.51001,7596800,0
2030,2018-07-23,301.839996,305.5,292.859985,303.200012,303.200012,10992900,1
2040,2018-08-06,345.459991,354.980011,341.820007,341.98999,341.98999,8564300,0
2050,2018-08-20,291.700012,308.5,288.200012,308.440002,308.440002,17402300,0
2060,2018-09-04,296.940002,298.190002,288.0,288.950012,288.950012,8350500,0
2070,2018-09-18,296.690002,302.640015,275.5,284.959991,284.959991,16547500,1
2080,2018-10-02,313.950012,316.839996,299.149994,301.019989,301.019989,11743500,0
2090,2018-10-16,265.700012,277.380005,262.23999,276.589996,276.589996,9526400,1
2100,2018-10-30,328.390015,337.899994,322.26001,329.899994,329.899994,9126700,1
2110,2018-11-13,333.160004,344.700012,332.200012,338.730011,338.730011,5448600,1
2120,2018-11-28,345.98999,348.27999900000003,342.209991,347.869995,347.869995,4127600,1
2130,2018-12-13,370.149994,377.440002,366.75,376.790009,376.790009,7365900,0
2140,2018-12-28,323.100006,336.23999,318.410004,333.869995,333.869995,9939000,1
2150,2019-01-14,342.380005,342.5,334.0,334.399994,334.399994,5247300,0
2160,2019-01-29,295.269989,298.559998,291.799988,297.459991,297.459991,4621700,1
2170,2019-02-12,316.200012,318.190002,309.619995,311.809998,311.809998,5517600,1
2180,2019-02-27,301.77999900000003,316.299988,300.549988,314.73999,314.73999,11183900,0
2190,2019-03-13,283.899994,291.98999,282.700012,288.959991,288.959991,6844700,0
